ind,sampling_year,sampling_month,sampling_loc,seq_library,library_type,SL_mm,TL_mm,mass_g,juvenile,raw_reads,assem_reads,assem_pct,pheno_ID,pheno_sex,pca_ID_RAD,pca_ID_GBS,entropy_ID,spp_agree,checkHets_quality,keep,comments,final_ID
JAR18_139413,2018,May,Kagunga,lates03,GBS,182,209,62,N,838785,721701,86.00%,Lsta,,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139527,2018,May,Kigoma,lates03,GBS,316,369,424,N,1232781,1161136,94.20%,Lmar,M,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139528,2018,May,Kigoma,lates03,GBS,111,132,15,Y,900307,780797,86.70%,Juv,,#N/A,Lmic,Lmic,TRUE,2,Y,,Lmic
JAR18_139852,2018,May,Kirando,lates03,GBS,220,256,103,N,924473,863850,93.40%,Lsta,F,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139853,2018,May,Kirando,lates03,GBS,195,226,73,N,1097009,956287,87.20%,Lsta,F,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139858,2018,May,Kirando,lates03,GBS,191,225,88,N,1400400,1305162,93.20%,Lsta,M,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139859,2018,May,Kirando,lates03,GBS,204,239,81,N,633147,576307,91.00%,Lsta,F,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139862,2018,May,Kirando,lates03,GBS,198,230,75,N,1266206,1145897,90.50%,Lsta,F,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139867,2018,May,Kirando,lates03,GBS,192,223,77,N,438729,410354,93.50%,Lsta,M,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139891,2018,May,Kirando,lates03,GBS,n/a,n/a,n/a,N,1643525,1545493,94.00%,Lmar,F,#N/A,Lang,Lang,TRUE,2,Y,,Lang
JAR18_139895,2018,May,Kirando,lates03,GBS,600,695,2900,N,1217405,1134479,93.20%,Lmar,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139897,2018,May,Kirando,lates03,GBS,391,482,1023,N,1177054,1096512,93.20%,Lmar,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139899,2018,May,Kirando,lates03,GBS,428,502,1370,N,1442052,1339796,92.90%,Lmar,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139900,2018,May,Kirando,lates03,GBS,325,365,679,N,1581481,1447506,91.50%,Lang,F,#N/A,Lang,Lang,TRUE,2,Y,,Lang
JAR18_139901,2018,May,Kirando,lates03,GBS,209,247,139,Y,55496,52458,94.50%,Lmar,,#N/A,#N/A,Lmar,TRUE,3,N,very little data,#N/A
JAR18_139902,2018,May,Kirando,lates03,GBS,448,502,1365,N,1584765,1472993,92.90%,Lang,F,#N/A,Lang,Lang,TRUE,2,Y,,Lang
JAR18_139903,2018,May,Kirando,lates03,GBS,605,704,4000,N,1412423,1317044,93.20%,Lang,M,#N/A,Lang,Lang,TRUE,2,Y,,Lang
JAR18_139906,2018,May,Kirando,lates03,GBS,220,260,164,Y,862363,376734,43.70%,Lmar,,#N/A,Lmar (but is close to Lang),Lunk,TRUE,4,N,,#N/A
JAR18_139907,2018,May,Kirando,lates03,GBS,256,292,211,Y,768642,624870,81.30%,Lmar,,#N/A,Lmar (but is close to Lang),Lunk,TRUE,4,N,,#N/A
JAR18_139914,2018,May,Kirando,lates03,GBS,594,748,2900,N,1539679,1429927,92.90%,Lmic,,#N/A,Lmic,Lmic,TRUE,2,Y,,Lmic
JAR18_139921,2018,May,Kirando,lates03,GBS,590,670,3200,N,177180,113500,64.10%,Lmar,F,#N/A,#N/A,Lmar,TRUE,3,N,very little data,#N/A
JAR18_139922,2018,May,Wampembe,lates03,GBS,600,700,4450,N,1140184,1029655,90.30%,Lang,M,#N/A,#N/A,Lmic,FALSE,3,N,,#N/A
JAR18_139923,2018,May,Wampembe,lates03,GBS,501,509,2000,N,1397254,1295919,92.70%,Lmar,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139924,2018,May,Wampembe,lates03,GBS,405,501,1000,N,832266,641991,77.10%,Lang,F,#N/A,Lang,Lang,TRUE,4,N,,#N/A
JAR18_139925,2018,May,Wampembe,lates03,GBS,409,505,2000,N,1047760,963669,92.00%,Lang,F,#N/A,Lang,Lang,TRUE,2,Y,,Lang
JAR18_139926,2018,May,Wampembe,lates03,GBS,409,500,1300,N,1143684,1065980,93.20%,Lang,F,#N/A,Lang,Lang,TRUE,2,Y,,Lang
JAR18_139927,2018,May,Wampembe,lates03,GBS,500,508,1200,N,985084,863485,87.70%,Lmar,F,#N/A,Lmar,Lmar,TRUE,4,N,,#N/A
JAR18_139928,2018,May,Wampembe,lates03,GBS,401,407,1000,N,1149964,1065694,92.70%,Lmar,F,#N/A,Lmar,Lmar,TRUE,3,N,,#N/A
JAR18_139929,2018,May,Wampembe,lates03,GBS,440,447,737,N,1208711,1140988,94.40%,Lsta,F,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139930,2018,May,Wampembe,lates03,GBS,215,250,148,Y,869535,815559,93.80%,Lang,F,#N/A,Lang,Lang,TRUE,2,Y,,Lang
JAR18_139931,2018,May,Wampembe,lates03,GBS,218,250,148,Y,821028,770369,93.80%,Lang,M,#N/A,Lang,Lang,TRUE,2,Y,,Lang
JAR18_139932,2018,May,Wampembe,lates03,GBS,140,160,39,Y,1024820,949251,92.60%,Juv,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139933,2018,May,Wampembe,lates03,GBS,170,200,70,Y,949494,891798,93.90%,Lmar,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_139934,2018,May,Wampembe,lates03,GBS,153,179,97,Y,1324956,1248567,94.20%,Lang,M,#N/A,Lmar (in the middle of the pulk),Lmar,TRUE,2,Y,,Lmar
