New_ID,Moran_FishID,Site,Location,Field.ID,Sex,Library,lates01,lates02,lates03,duplicate,Plate,entropy_dnaID,raxml_dnaID
lates02.JAR18_139388,JAR18_139388,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139389,JAR18_139389,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lunk,Lunk
lates02.JAR18_139390,JAR18_139390,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139391,JAR18_139391,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,
lates02.JAR18_139392,JAR18_139392,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139393,JAR18_139393,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lunk,Lunk
lates02.JAR18_139394,JAR18_139394,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139395,JAR18_139395,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139396,JAR18_139396,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139397,JAR18_139397,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139398,JAR18_139398,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lunk,Lunk
lates02.JAR18_139399,JAR18_139399,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139400,JAR18_139400,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139401,JAR18_139401,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lunk,Lunk
lates02.JAR18_139402,JAR18_139402,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139403,JAR18_139403,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139404,JAR18_139404,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139405,JAR18_139405,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139406,JAR18_139406,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139407,JAR18_139407,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139408,JAR18_139408,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139409,JAR18_139409,Kagunga,Kagunga,Lsta,F,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139410,JAR18_139410,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139411,JAR18_139411,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate2",Lsta,Lsta
lates02.JAR18_139412,JAR18_139412,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139413,JAR18_139413,Kagunga,Kagunga,Lsta,,lates02lates03,F,T,T,T,"02_plate2,03_plate1",Lsta,Lsta
lates02.JAR18_139519,JAR18_139519,Katonga,Kigoma,Lmic,M,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139520,JAR18_139520,Katonga,Kigoma,Lang,M,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139521,JAR18_139521,Katonga,Kigoma,Lmic,F,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139522,JAR18_139522,Katonga,Kigoma,Lang,M,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139523,JAR18_139523,Katonga,Kigoma,Lmic,M,lates02,F,T,F,F,02_plate1,Lmic,Lmar
lates02.JAR18_139524,JAR18_139524,Katonga,Kigoma,Lang,F,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139525,JAR18_139525,Katonga,Kigoma,Lang,F,lates02,F,T,F,F,02_plate1,Lang,Lang
lates02.JAR18_139526,JAR18_139526,Katonga,Kigoma,Lsta,F,lates02,F,T,F,F,02_plate1,Lsta,Lsta
lates02.JAR18_139527,JAR18_139527,Katonga,Kigoma,Lmar,M,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lmic,Lmar
lates02.JAR18_139528,JAR18_139528,Katonga,Kigoma,Lmar,,lates02lates03,F,T,T,T,"02_plate1,03_plate1",Lmar,Lmic
