ind,Field_ID,FishEC_num,sampling_year,sampling_month,sampling_loc,seq_library,SL_mm,TL_mm,mass_g,juvenile,data_type,raw_reads,assem_reads,assem_pct,pheno_ID,final_ID,assign_k2,assign_k3,assign_k4,assign_k5,assign_k6
JAR18_139939,#N/A,139939,2018,May,Wampembe,lates03,132,150,22,Y,GBS,860395,806865,93.80%,Lmar,Lmar,X2,X2,X4,X1,X1
JAR18_139940,#N/A,139940,2018,May,Wampembe,lates03,113,133,24,Y,GBS,1206439,1136139,94.20%,Lmar,Lmar,X2,X2,X4,X1,X1
JAR18_139941,#N/A,139941,2018,May,Wampembe,lates03,170,191,64,Y,GBS,962739,895814,93.00%,Lmar,Lmar,X2,X1,X3,X2,X2
JAR18_139942,#N/A,139942,2018,May,Wampembe,lates03,109,123,24,Y,GBS,1099793,1023034,93.00%,Lmar,Lmar,X2,X1,X3,X2,X2
JAR18_139943,#N/A,139943,2018,May,Wampembe,lates03,75,90,30,Y,GBS,1213654,1140128,93.90%,Lmar,Lmar,X2,X1,X3,X2,X2
JAR18_139944,#N/A,139944,2018,May,Wampembe,lates03,90,105,4,Y,GBS,935375,858044,91.70%,Lmar,Lmar,X2,X2,X4,X1,X1
JAR18_139945,#N/A,139945,2018,May,Wampembe,lates03,73,85,2,Y,GBS,1038424,974021,93.80%,Lmar,Lmar,X2,X2,X4,X1,X1
JAR18_139946,#N/A,139946,2018,May,Wampembe,lates03,62,70,2,Y,GBS,800444,753585,94.10%,Lmar,Lmar,X2,X2,X4,X1,X1
JAR18_139947,#N/A,139947,2018,May,Wampembe,lates03,70,82,4,Y,GBS,776194,727532,93.70%,Lmar,Lmar,X2,X1,X3,X2,X2
JAR18_139948,#N/A,139948,2018,May,Wampembe,lates03,75,90,4,Y,GBS,1103464,1030266,93.40%,Lmar,Lmar,X2,X1,X3,X2,X2
JAR18_139983,#N/A,139983,2018,May,Wampembe,lates03,269,305,159,N,GBS,881976,815013,92.40%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139984,#N/A,139984,2018,May,Wampembe,lates03,285,335,219,N,GBS,695059,648986,93.40%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139985,#N/A,139985,2018,May,Wampembe,lates03,243,277,142,N,GBS,1264294,1158764,91.70%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139986,#N/A,139986,2018,May,Wampembe,lates03,239,266,124,N,GBS,719039,643902,89.60%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139987,#N/A,139987,2018,May,Wampembe,lates03,246,282,143,N,GBS,998546,880654,88.20%,Lsta,NA,NA,NA,NA,NA,NA
JAR18_139988,#N/A,139988,2018,May,Wampembe,lates03,234,265,116,N,GBS,532643,466148,87.50%,Lsta,NA,NA,NA,NA,NA,NA
